predictor,inferential_role,row_type,level,reference_level,reporting_unit,continuous_unit_scale,fit_status,separation_status,support_status,model_analysis_N,model_events,model_non_events,model_unique_subjects,value_1_n,value_0_n,value_1_events,value_0_events,level_n,level_events,level_non_events,level_unique_subjects,odds_ratio,ci_low,ci_high,coef_p_value,omnibus_p_value,effect_representation,spline_df,reason
endo_resection_no_resection,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,7.0,424.0,3.0,58.0,,,,,4.732758620689655,1.0289934838130719,21.767877556143276,0.045860525267677026,,,,
adenomyosis_feature_1,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,69.0,362.0,10.0,51.0,,,,,1.033565968760385,0.4958397200759986,2.154443398798021,0.9298003548340266,,,,
peritoneal_endometriosis,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,299.0,132.0,42.0,19.0,,,,,0.9719434773704687,0.5405156758884984,1.7477275227034734,0.9242709780400833,,,,
adenomyosis_feature_6,BINARY,source,,0,n/a,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,431.0,61.0,370.0,430.0,4.0,427.0,0.0,61.0,,,,,,,,,,,,Zero-count cell in the 2x2 outcome table (complete separation) or single predictor level.
adenomyosis_feature_7,BINARY,source,,0,n/a,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,431.0,61.0,370.0,430.0,1.0,430.0,1.0,60.0,,,,,,,,,,,,Zero-count cell in the 2x2 outcome table (complete separation) or single predictor level.
adenomyosis_feature_11,BINARY,source,,0,n/a,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,431.0,61.0,370.0,430.0,1.0,430.0,1.0,60.0,,,,,,,,,,,,Zero-count cell in the 2x2 outcome table (complete separation) or single predictor level.
adenomyosis_feature_8,BINARY,source,,0,n/a,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,431.0,61.0,370.0,430.0,1.0,430.0,0.0,61.0,,,,,,,,,,,,Zero-count cell in the 2x2 outcome table (complete separation) or single predictor level.
induction_any_bin,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,194.0,237.0,47.0,14.0,,,,,5.0928085519922295,2.70336246049896,9.594236557704528,4.713731431367744e-07,,,,
placental_abruption,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,4.0,427.0,2.0,59.0,,,,,6.23728813559322,0.8579364371528937,45.34574078181839,0.07051666029375876,,,,
magnesium,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,8.0,423.0,3.0,58.0,,,,,3.7758620689655196,0.8757182593009424,16.280503703592505,0.07475399621543623,,,,
mild_PET,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,8.0,423.0,3.0,58.0,,,,,3.775862068965518,0.8757182593009419,16.280503703592498,0.07475399621543637,,,,
PPROM,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,17.0,414.0,6.0,55.0,,,,,3.560330578512395,1.2623809031353892,10.04130670608768,0.016377038255630482,,,,
EUP,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,17.0,414.0,1.0,60.0,,,,,0.3687500000000001,0.0477806195163644,2.8458518092974785,0.33864061671005385,,,,
PIH,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,10.0,421.0,3.0,58.0,,,,,2.6822660098522175,0.6722088395305068,10.702850847116878,0.1622862672683103,,,,
polyhydramnios,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,18.0,413.0,5.0,56.0,,,,,2.451923076923078,0.8396012949201943,7.160454386530428,0.10095690967849776,,,,
LIVE_BIRTH,DESCRIPTIVE_ONLY,source,,,,,NOT_FITTED,,,,,,,,,,,,,,,,,,,,,,"DESCRIPTIVE_ONLY — retained for description, not fitted in the primary whole-cohort univariable analysis."
endo_resection_fallopian_tube,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,27.0,404.0,2.0,59.0,,,,,0.4677966101694919,0.10756441064371339,2.0344430576662798,0.3110685855592158,,,,
endo_resection_ovarian_endometrioma_bilateral,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,27.0,404.0,2.0,59.0,,,,,0.46779661016949176,0.10756441064371335,2.0344430576662793,0.31106858555921557,,,,
endo_resection_appendix,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,4.0,427.0,1.0,60.0,,,,,2.03888888888889,0.20752766687945096,20.031391301909334,0.5411367322209195,,,,
endo_resection_adnexa,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,11.0,420.0,1.0,60.0,,,,,0.6,0.07506580162383206,4.795792387644422,0.6300343652085265,,,,
vaginal_opening_during_surgery,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,24.0,407.0,5.0,56.0,,,,,1.6494360902255647,0.5905574765295513,4.606900299910872,0.33961202901778575,,,,
celestone,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,35.0,396.0,7.0,54.0,,,,,1.5833333333333344,0.6576374259291837,3.812046494924397,0.3053271465180628,,,,
intrapartum_fever_or_chorioamnionitis_bin,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,29.0,402.0,8.0,53.0,,,,,2.508535489667566,1.0550522874902493,5.964396625205033,0.03741227258923076,,,,
diabetes_type,DESCRIPTIVE_ONLY,source,,,,,NOT_FITTED,,,,,,,,,,,,,,,,,,,,,,"DESCRIPTIVE_ONLY — retained for description, not fitted in the primary whole-cohort univariable analysis."
bladder_lesion_resected,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,16.0,415.0,3.0,58.0,,,,,1.4204244031830249,0.3915094265126888,5.153402060147999,0.5935058282424843,,,,
