exposure,exposure_class,row_type,level,reference_level,model_variant,comparison,n,events,non_events,unique_subject_groups,adjusted_or,adjusted_ci_low,adjusted_ci_high,adjusted_p,fit_status,separation_status,support_status,caution_flag,caution_reason,notes,bh_q,in_bh_family,missingness_loss_n,missingness_loss_pct
derived_endo_surgery_adhesion_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,level,prior_surgery_without_documented_adhesions,no_prior_endo_surgery,SENSITIVITY_IVF,prior_surgery_without_documented_adhesions vs. no_prior_endo_surgery,86,13,73,85,1.1509555493047507,0.5255504194518077,2.520592939222026,0.725199088836416,OK,none,OK,False,,,,False,345,80.04640371229698
derived_endo_surgery_adhesion_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,level,prior_surgery_with_documented_adhesions,no_prior_endo_surgery,SENSITIVITY_IVF,prior_surgery_with_documented_adhesions vs. no_prior_endo_surgery,136,17,119,136,0.6695311192221727,0.3265675167276082,1.3726776138019916,0.27342609223677683,OK,none,OK,False,,,,False,295,68.44547563805105
derived_prior_endo_surgery_procedure_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,no_prior_endo_surgery,PRIMARY,categorical source-level omnibus (cluster-robust Wald),431,61,370,430,,,,0.07841231951896321,OK,none,SEE_LEVEL_SUPPORT,False,,,0.5096800768732609,True,0,0.0
derived_prior_endo_surgery_procedure_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,level,prior_surgery_no_selected_procedure_documented,no_prior_endo_surgery,PRIMARY,prior_surgery_no_selected_procedure_documented vs. no_prior_endo_surgery,13,5,8,13,2.7670993795104506,0.7764024194009465,9.861946311289131,0.11649516118415475,OK,none,OK,False,,,,False,418,96.98375870069606
derived_prior_endo_surgery_procedure_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,level,prior_surgery_with_selected_procedure_documented,no_prior_endo_surgery,PRIMARY,prior_surgery_with_selected_procedure_documented vs. no_prior_endo_surgery,209,25,184,208,0.6837125494311822,0.3736490127058133,1.2510747636251252,0.2174468118247631,OK,none,OK,False,,,,False,222,51.50812064965197
derived_prior_endo_surgery_procedure_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,no_prior_endo_surgery,SENSITIVITY_IVF,categorical source-level omnibus (cluster-robust Wald),431,61,370,430,,,,0.13989095058877127,OK,none,SEE_LEVEL_SUPPORT,False,,,,False,0,0.0
derived_prior_endo_surgery_procedure_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,level,prior_surgery_no_selected_procedure_documented,no_prior_endo_surgery,SENSITIVITY_IVF,prior_surgery_no_selected_procedure_documented vs. no_prior_endo_surgery,13,5,8,13,2.6722275158356767,0.7404767566901443,9.643516601801196,0.1333294889382576,OK,none,OK,False,,,,False,418,96.98375870069606
derived_prior_endo_surgery_procedure_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,level,prior_surgery_with_selected_procedure_documented,no_prior_endo_surgery,SENSITIVITY_IVF,prior_surgery_with_selected_procedure_documented vs. no_prior_endo_surgery,209,25,184,208,0.7157510713233061,0.3747517066045717,1.3670373932173328,0.31107782214393265,OK,none,OK,False,,,,False,222,51.50812064965197
endo_resection_adhesiolysis,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,0.6637199561396327,0.35082234980432997,1.2556901817221648,0.2076534326739442,OK,none,OK,True,Binary operative-finding indicator: contrast is finding/procedure present vs a heterogeneous value-0 group containing both operated-negative and never-operated women.,,0.6391948902721767,True,0,0.0
endo_resection_adhesiolysis,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,0.7114020635869918,0.3637581287625889,1.3912895851906526,0.31973102849639945,OK,none,OK,True,Binary operative-finding indicator: contrast is finding/procedure present vs a heterogeneous value-0 group containing both operated-negative and never-operated women.,,,False,0,0.0
endo_resection_adnexa,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,0.5518267718362717,0.05129886347535462,5.936053266785083,0.623772676120499,OK,none,SPARSE_EXPLORATORY,True,"Binary operative-finding indicator population/contrast caveat, reinforced by only 1 exposed event despite 11 exposed unique subjects (10-19 band).",,0.8413429320487512,True,0,0.0
endo_resection_adnexa,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,0.5291369112612215,0.043281923728549866,6.468886933377685,0.6182633753626605,OK,none,SPARSE_EXPLORATORY,True,"Binary operative-finding indicator population/contrast caveat, reinforced by only 1 exposed event despite 11 exposed unique subjects (10-19 band).",,,False,0,0.0
endo_resection_appendix,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,PRIMARY,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,Ultra-rare exposed group (4 unique subjects) -- not scientifically reliable regardless of convergence.,Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
endo_resection_appendix,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,SENSITIVITY_IVF,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,Ultra-rare exposed group (4 unique subjects) -- not scientifically reliable regardless of convergence.,Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
endo_resection_epiploica,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,PRIMARY,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,"Complete/structural separation -- exposed N=1, zero exposed events (zero event cell).",Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
endo_resection_epiploica,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,SENSITIVITY_IVF,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,"Complete/structural separation -- exposed N=1, zero exposed events (zero event cell).",Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
endo_resection_fallopian_tube,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,0.2982808168429457,0.08020417035435325,1.1093119634977413,0.07104938441207377,OK,none,SPARSE_EXPLORATORY,True,"Binary operative-finding indicator population/contrast caveat, reinforced by only 2 exposed events despite 27 exposed unique subjects.",,0.5096800768732609,True,0,0.0
endo_resection_fallopian_tube,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,0.32424772352306347,0.0858451085593132,1.2247242501562767,0.0967139563559412,OK,none,SPARSE_EXPLORATORY,True,"Binary operative-finding indicator population/contrast caveat, reinforced by only 2 exposed events despite 27 exposed unique subjects.",,,False,0,0.0
endo_resection_lesion,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,0.6326234443721068,0.3447877591332791,1.1607500897806653,0.1392484508400493,OK,none,OK,True,"Binary operative-finding indicator population/contrast caveat (support itself is ample: 173 exposed subjects, 21 exposed events -- caution is about contrast definition, not sparsity).",,0.6391948902721767,True,0,0.0
endo_resection_lesion,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,0.6715062198106042,0.3586014877639229,1.2574420871928471,0.2134146289347304,OK,none,OK,True,"Binary operative-finding indicator population/contrast caveat (support itself is ample: 173 exposed subjects, 21 exposed events -- caution is about contrast definition, not sparsity).",,,False,0,0.0
endo_resection_no_resection,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,2.7180247152828265,0.5136283434382929,14.383276248803513,0.23950529823167443,OK,none,SPARSE_EXPLORATORY,True,"Binary operative-finding indicator population/contrast caveat, reinforced by only 7 exposed unique subjects (5-9 band).",,0.6391948902721767,True,0,0.0
endo_resection_no_resection,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,2.4736023587474736,0.4425958851085034,13.82459447787466,0.3022755286254418,OK,none,SPARSE_EXPLORATORY,True,"Binary operative-finding indicator population/contrast caveat, reinforced by only 7 exposed unique subjects (5-9 band).",,,False,0,0.0
endo_resection_ovarian_endometrioma_bilateral,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,0.37614305383134156,0.08046810321748478,1.758256890474644,0.21396730917015339,OK,none,SPARSE_EXPLORATORY,True,"Binary operative-finding indicator population/contrast caveat, reinforced by only 2 exposed events despite 27 exposed unique subjects.",,0.6391948902721767,True,0,0.0
endo_resection_ovarian_endometrioma_bilateral,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,0.38432608400726587,0.08423421704606218,1.7535218350470205,0.21691670429895837,OK,none,SPARSE_EXPLORATORY,True,"Binary operative-finding indicator population/contrast caveat, reinforced by only 2 exposed events despite 27 exposed unique subjects.",,,False,0,0.0
endo_resection_ovarian_endometrioma_unilateral,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,0.823581547176531,0.40492475603480266,1.6750928530321587,0.5920797925392732,OK,none,OK,True,"Binary operative-finding indicator population/contrast caveat (support ample: 82 exposed subjects, 11 exposed events).",,0.8413429320487512,True,0,0.0
endo_resection_ovarian_endometrioma_unilateral,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,0.8749701380528796,0.4209675533328134,1.8186027317858864,0.7204879099981565,OK,none,OK,True,"Binary operative-finding indicator population/contrast caveat (support ample: 82 exposed subjects, 11 exposed events).",,,False,0,0.0
endo_resection_uterus,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,PRIMARY,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,"Complete/structural separation -- exposed N=9, zero exposed events (zero event cell).",Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
endo_resection_uterus,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,SENSITIVITY_IVF,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,"Complete/structural separation -- exposed N=9, zero exposed events (zero event cell).",Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
endometrioma,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,0.7069644202946145,0.39359200397783284,1.269839545801975,0.2458441885662218,OK,none,OK,False,,,0.6391948902721767,True,0,0.0
endometrioma,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,0.7379800736972688,0.4113826472475441,1.3238637867156116,0.3081900219187277,OK,none,OK,False,,,,False,0,0.0
endometrioma_presence_laterality,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,none,PRIMARY,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,Categorical level 'laterality_unknown' (N=5) has zero events -- complete separation for that level.,Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
endometrioma_presence_laterality,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,none,SENSITIVITY_IVF,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,Categorical level 'laterality_unknown' (N=5) has zero events -- complete separation for that level.,Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
endometrioma_size_status,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,no_endometrioma,PRIMARY,categorical source-level omnibus (cluster-robust Wald),431,61,370,430,,,,0.4784970930802498,OK,none,SEE_LEVEL_SUPPORT,True,"Multi-parameter categorical model with limited event information (events-per-parameter ~8.71, informational 10-EPP guideline, non-binding).",,0.8293949613390996,True,0,0.0
